Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Be-Te-Mg-S,8.082000,8.082000,17.245000,1.000000,40.090000,11.040000,37.050000,37.050000,14.530000,14.530000,25.570000,25.570000,0.280000,0.280000
Be-Te-Mg-Se,8.254000,8.254000,16.533000,1.000000,45.930000,18.650000,38.360000,38.360000,13.640000,13.640000,32.290000,32.290000,0.410000,0.410000
Be-Te-Sr-O,8.049000,8.049000,17.386000,1.000000,22.320000,-4.180000,21.530000,21.530000,13.250000,13.250000,9.070000,9.070000,-0.190000,-0.190000
Be-Te-Sr-S,8.522000,8.522000,15.509000,1.000000,36.830000,-7.400000,35.350000,35.350000,22.120000,22.120000,14.720000,14.720000,-0.200000,-0.200000
Be-Te-Sr-Se,8.509000,8.509000,15.557000,1.000000,-20.450000,-35.690000,41.830000,41.830000,7.620000,7.620000,-28.070000,-28.070000,1.750000,1.750000
Be-Te-Zn-O,7.304000,7.304000,21.114000,1.000000,-98.710000,-58.610000,-63.900000,-63.900000,-20.050000,-20.050000,-78.660000,-78.660000,0.590000,0.590000
Be-Te-Zn-S,7.874000,7.874000,18.168000,1.000000,49.670000,32.380000,28.570000,28.570000,8.650000,8.650000,41.020000,41.020000,0.650000,0.650000
Be-Te-Zn-Se,8.044000,8.044000,17.405000,1.000000,49.220000,12.910000,45.840000,45.840000,18.160000,18.160000,31.070000,31.070000,0.260000,0.260000
Cd-O-Ba-S,7.867000,7.867000,18.199000,1.000000,16.600000,-1.600000,16.440000,16.440000,9.100000,9.100000,7.500000,7.500000,-0.100000,-0.100000
Cd-O-Ba-Se,7.891000,7.891000,18.090000,1.000000,-39.720000,-46.270000,14.180000,14.180000,3.270000,3.270000,-43.000000,-43.000000,1.160000,1.160000
Cd-O-Ba-Te,7.983000,7.983000,17.673000,1.000000,-10.320000,18.060000,21.290000,21.290000,-14.190000,-14.190000,3.870000,3.870000,-1.750000,-1.750000
Cd-O-Be-S,7.222000,7.222000,21.597000,1.000000,23.290000,12.430000,16.660000,16.660000,5.430000,5.430000,17.860000,17.860000,0.530000,0.530000
Cd-O-Be-Se,7.376000,7.376000,20.701000,1.000000,27.890000,5.150000,26.940000,26.940000,11.370000,11.370000,16.520000,16.520000,0.180000,0.180000
Cd-O-Be-Te,7.654000,7.654000,19.224000,1.000000,19.080000,13.570000,9.440000,9.440000,2.760000,2.760000,16.330000,16.330000,0.710000,0.710000
Cd-O-Mg-S,7.774000,7.774000,18.636000,1.000000,-5.760000,33.780000,192.190000,192.190000,-19.770000,-19.770000,14.010000,14.010000,-5.860000,-5.860000
Cd-O-Mg-Se,7.758000,7.758000,18.714000,1.000000,-26.580000,3.620000,-26.090000,-26.090000,-15.100000,-15.100000,-11.480000,-11.480000,-0.140000,-0.140000
Cd-O-Mg-Te,7.889000,7.889000,18.098000,1.000000,-61.810000,-49.900000,-21.510000,-21.510000,-5.950000,-5.950000,-55.860000,-55.860000,0.810000,0.810000
Cd-O-Sr-S,7.858000,7.858000,18.239000,1.000000,-24.270000,-36.800000,31.530000,31.530000,6.260000,6.260000,-30.530000,-30.530000,1.520000,1.520000
Cd-O-Sr-Se,7.891000,7.891000,18.086000,1.000000,-6.270000,-44.910000,315.290000,315.290000,19.320000,19.320000,-25.590000,-25.590000,7.160000,7.160000
Cd-O-Sr-Te,,,,,,,,,,,,,,
Cd-O-Zn-S,7.585000,7.585000,19.576000,1.000000,31.190000,25.680000,10.040000,10.040000,2.750000,2.750000,28.430000,28.430000,0.820000,0.820000
Cd-O-Zn-Se,7.665000,7.665000,19.168000,1.000000,37.540000,26.190000,19.260000,19.260000,5.670000,5.670000,31.870000,31.870000,0.700000,0.700000
Cd-O-Zn-Te,7.819000,7.819000,18.421000,1.000000,-17.400000,-3.570000,-16.660000,-16.660000,-6.910000,-6.910000,-10.490000,-10.490000,0.210000,0.210000
Cd-S-Ba-O,8.530000,8.530000,15.478000,1.000000,23.230000,15.760000,12.540000,12.540000,3.730000,3.730000,19.490000,19.490000,0.680000,0.680000
Cd-S-Ba-Se,8.890000,8.890000,14.251000,1.000000,13.830000,25.710000,-33.960000,-33.960000,-5.940000,-5.940000,19.770000,19.770000,1.860000,1.860000
Cd-S-Ba-Te,10.414000,10.414000,10.385000,1.000000,-2.930000,-8.710000,22.990000,22.990000,2.890000,2.890000,-5.820000,-5.820000,2.980000,2.980000
Cd-S-Be-O,6.693000,6.693000,25.146000,1.000000,-33.700000,93.270000,224.470000,224.470000,-63.490000,-63.490000,29.790000,29.790000,-2.770000,-2.770000
Cd-S-Be-Se,7.777000,7.777000,18.625000,1.000000,16.540000,2.770000,16.080000,16.080000,6.880000,6.880000,9.660000,9.660000,0.170000,0.170000
