Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Hf-Sn-Se-S,7.397000,7.397000,15.419000,1.000000,130.630000,32.150000,122.710000,122.710000,49.240000,49.240000,81.390000,81.390000,0.250000,0.250000
Hf-Sn-Se-Te,7.802000,7.802000,13.860000,1.000000,53.690000,21.880000,44.780000,44.780000,15.910000,15.910000,37.780000,37.780000,0.410000,0.410000
Hf-Sn-S-O,6.793000,6.793000,18.282000,1.000000,176.780000,58.030000,157.730000,157.730000,59.370000,59.370000,117.410000,117.410000,0.330000,0.330000
Hf-Sn-S-Se,7.438000,7.438000,15.249000,1.000000,132.110000,31.200000,124.750000,124.750000,50.460000,50.460000,81.660000,81.660000,0.240000,0.240000
Hf-Sn-S-Te,7.607000,7.607000,14.579000,1.000000,38.860000,4.660000,38.310000,38.310000,17.100000,17.100000,21.760000,21.760000,0.120000,0.120000
Hf-Sn-Te-O,6.842000,6.842000,18.022000,1.000000,37.860000,88.810000,-170.460000,-170.460000,-25.470000,-25.470000,63.330000,63.330000,2.350000,2.350000
Hf-Sn-Te-S,7.592000,7.592000,14.638000,1.000000,85.400000,30.810000,74.280000,74.280000,27.300000,27.300000,58.100000,58.100000,0.360000,0.360000
Hf-Sn-Te-Se,7.834000,7.834000,13.748000,1.000000,92.580000,17.610000,89.240000,89.240000,37.490000,37.490000,55.090000,55.090000,0.190000,0.190000
Hf-Ti-O-S,6.538000,6.538000,19.738000,1.000000,211.540000,48.400000,200.460000,200.460000,81.570000,81.570000,129.970000,129.970000,0.230000,0.230000
Hf-Ti-O-Se,6.605000,6.605000,19.338000,1.000000,178.260000,67.840000,152.440000,152.440000,55.210000,55.210000,123.050000,123.050000,0.380000,0.380000
Hf-Ti-O-Te,6.657000,6.657000,19.038000,1.000000,149.020000,105.490000,74.350000,74.350000,21.770000,21.770000,127.250000,127.250000,0.710000,0.710000
Hf-Ti-Se-O,6.522000,6.522000,19.832000,1.000000,-6.590000,43.960000,286.640000,286.640000,-25.270000,-25.270000,18.680000,18.680000,-6.670000,-6.670000
Hf-Ti-Se-S,7.082000,7.082000,16.821000,1.000000,114.720000,20.200000,111.170000,111.170000,47.260000,47.260000,67.460000,67.460000,0.180000,0.180000
Hf-Ti-Se-Te,7.440000,7.440000,15.240000,1.000000,94.770000,24.380000,88.490000,88.490000,35.190000,35.190000,59.570000,59.570000,0.260000,0.260000
Hf-Ti-S-O,6.523000,6.523000,19.828000,1.000000,96.900000,52.350000,68.620000,68.620000,22.280000,22.280000,74.620000,74.620000,0.540000,0.540000
Hf-Ti-S-Se,7.090000,7.090000,16.784000,1.000000,141.710000,29.140000,135.720000,135.720000,56.290000,56.290000,85.420000,85.420000,0.210000,0.210000
Hf-Ti-S-Te,7.240000,7.240000,16.096000,1.000000,92.260000,49.100000,66.130000,66.130000,21.580000,21.580000,70.680000,70.680000,0.530000,0.530000
